JOB_TITLE,WORKSITE_STATE,PW_WAGE_LEVEL,PREVAILING_WAGE
SOFTWARE DESIGN ENGINEER,WA,,"111,948.00"
VISITING POST DOCTORAL ASSOCIATE,FL,Level II,"43,992.00"
PERFORMANCE TEST ENGINEER,UT,Level IV,"93,330.00"
SR. MANAGER OF PLANNING,NY,Level II,"119,122.00"
"MANAGER, MARKETING ANALYTICS",IL,Level III,"63,794.00"
STAFF SCIENTIST,PA,Level II,"54,413.00"
QUANTITATIVE ANALYST,NY,Level IV,"115,502.00"
RHEUMATOLOGIST,ME,,"208,000.00"
EMBRYOLOGIST,MA,Level III,32.31
PROGRAMMER ANALYST,TN,Level II,"60,445.00"
C# DEVELOPER,IL,Level II,"83,366.00"
"SENIOR PRODUCT MANAGER, MOBILE ON FLIGHTS",NY,Level III,"114,026.00"
ASSISTANT PROFESSOR,TX,Level IV,"118,810.00"
ASSOCIATE RESEARCH SCIENTIST,NY,Level II,"50,731.00"
SOFTWARE DEVELOPER,NY,Level I,"75,130.00"
JAVA DEVELOPER,MN,Level II,"78,624.00"
POWERTRAIN CONTROLS ENGINEER,MI,Level I,29.47
SIMULATION ENGINEER,MI,Level II,33.03
POWERTRAIN SOFTWARE ENGINEER,MI,Level II,36.85
NVH CAE ENGINEER,MI,Level II,36.85
TIRE AND WHEEL DESIGN/RELEASE ENGINEER,MI,Level II,36.85
SEAT ENGINEER,MI,Level II,36.85
TECHNICAL BUSINESS ANALYST,MI,Level II,35.76
SOFTWARE DEVELOPER,MN,Level II,"78,624.00"
SAP PI/PO INTEGRATION CONSULTANT,PA,Level II,"87,235.00"
SALESFORCE DEVELOPER,CA,Level II,"110,864.00"
SSIS DEVELOPER,IL,Level II,"83,366.00"
SUPPLY CHAIN CONSULTANT,NC,Level II,"62,462.00"
APPLICATION DEVELOPER,MO,Level II,"83,470.00"
JAVA DEVELOPER,VA,Level II,"92,019.00"
JAVA DEVELOPER,VA,Level II,"92,019.00"
SALESFORCE CONSULTANT,IN,Level II,"71,240.00"
SALESFORCE CONSULTANT,TX,Level II,"90,002.00"
SOFTWARE ENGINEER,CT,Level II,"87,984.00"
"ASSISTANT VICE PRESIDENT, GLOBAL LISTED INFRASTRUCTURE SECUR",IL,Level III,"94,536.00"
SALESFORCE DEVELOPER,MI,Level II,"78,874.00"
SSIS DEVELOPER,IL,Level II,"83,366.00"
SALESFORCE DEVELOPER,MO,Level II,"83,470.00"
SOFTWARE DEVELOPER,MN,Level II,"78,624.00"
SALESFORCE DEVELOPER,IL,Level II,"79,206.00"
SALESFORCE DEVELOPER,MN,Level II,"78,624.00"
SALESFORCE CONSULTANT,OR,Level II,"85,176.00"
SOFTWARE DEVELOPER/SQL,IL,Level II,"83,366.00"
SOFTWARE DEVELOPER/SQL,IL,Level II,"83,366.00"
SSIS DEVELOPER,IL,Level II,"83,366.00"
SALESFORCE CONSULTANT,IN,Level II,"71,240.00"
CLINICAL ASSISTANT PROFESSOR,NC,Level III,"137,357.00"
BUSINESS ANALYST,NJ,Level II,41.12
MATH TEACHER,TX,Level I,"49,770.00"
SOFTWARE DEVELOPER,MN,Level II,"78,624.00"
SALESFORCE DEVELOPER,IL,Level II,"79,206.00"
SALESFORCE CONSULTANT,OR,Level II,"85,176.00"
SOFTWARE DEVELOPER,ID,Level II,"65,749.00"
SALESFORCE DEVELOPER,CA,Level II,"110,864.00"
SSIS DEVELOPER,IL,Level II,"83,366.00"
SALESFORCE DEVELOPER,MO,Level II,"83,470.00"
SALESFORCE CONSULTANT,IN,Level II,"71,240.00"
APPLICATION  DEVELOPER,CA,Level II,"110,864.00"
SALESFORCE DEVELOPER,MO,Level II,"83,470.00"
SALESFORCE CONSULTANT,IN,Level II,"71,240.00"
SOFTWARE DEVELOPER,MN,Level II,"78,624.00"
GENESIS IVR DEVELOPER,TX,Level II,"90,646.00"
SOFTWARE ENGINEER II,WI,Level III,"85,842.00"
PL/SQL DEVELOPER,VA,Level II,"82,493.00"
DATA ANALYST (MARKETING),CA,Level II,"74,194.00"
"DIRECTOR, MEDICAL AND SAFETY SCIENCE SERVICES",MA,Level III,"135,658.00"
ARCHITECT,VA,Level IV,"135,491.00"
DENTIST,CA,Level I,"107,869.00"
BUSINESS ANALYST,AL,Level II,"68,765.00"
SOFTWARE DEVELOPER,AZ,Level II,"78,021.00"
ORACLE DATABASE ADMINISTRATOR IV,TX,Level IV,"101,317.00"
BIG DATA HADOOP DEVELOPER,FL,Level IV,"106,122.00"
QA ANALYST,AZ,Level II,"81,266.00"
PROJECT MANAGER,NJ,Level I,52.70
SOFTWARE ENGINEER: DATABASE DEVELOPER - LEVEL 2,TX,Level II,"88,483.00"
TECHNICAL PRODUCT MANAGER,CA,Level II,"94,266.00"
SR. SOFTWARE ENGINEER (.NET DEVELOPER),TX,Level II,"88,483.00"
DATA SCIENTIST 1615.3711,CA,Level III,"107,203.00"
CLINICAL APPLICATION SPECIALIST,CA,Level I,"79,830.00"
SENIOR SOFTWARE ENGINEER (11168.40.1),CA,Level IV,"142,168.00"
HEALTH SCIENCES CLINICAL INSTRUCTOR,CA,Level II,"151,800.00"
CLINICAL APPLICATION SPECIALIST,CA,Level I,"79,830.00"
DATA GOVERNANCE INSTRUCTOR,PA,Level III,"59,405.00"
VICE PRESIDENT,CT,Level IV,"125,923.00"
SOLUTION ARCHITECT,IL,Level II,"83,366.00"
ARCHITECTURAL GRADUATE,IL,Level I,"51,314.00"
SOFTWARE DEVELOPER - JAVA,TX,Level III,"109,886.00"
SOLUTIONS ARCHITECT,CA,Level III,"132,184.00"
SOLUTIONS ARCHITECT,CA,Level III,"147,597.00"
SENIOR ENGINEERING ARCHITECT,CA,Level IV,"144,414.00"
SOFTWARE ENGINEERING MANAGER,TX,Level III,"163,238.00"
GLOBAL SENIOR PROGRAM MANAGER,CA,Level IV,"112,757.00"
SALES REPRESENTATIVE,TX,Level II,"77,605.00"
SOFTWARE DEVELOPMENT SENIOR SPECIALIST,TX,,"99,500.00"
SOFTWARE MANAGER - SOFTWARE PROJECT LEAD,CA,Level IV,"142,917.00"
DATA SCIENTIST,CA,Level III,"125,112.00"
PROJECT LEAD,MA,Level II,"76,294.00"
SR. SOFTWARE DEVELOPER,MN,Level III,"94,058.00"
STAFF SOFTWARE TEST ENGINEER,TX,,"115,395.00"
SOFTWARE DEVELOPMENT ENGINEER,WA,Level II,"113,318.00"
SOFTWARE PRINCIPAL ENGINEER,CO,,"105,191.00"
DIRECTOR PRODUCT MANAGEMENT,WA,Level III,"162,219.00"
"SENIOR CONSULTANT, PRODUCT MANAGEMENT",MA,Level IV,"91,270.00"
DEVELOPER - DECISIONING - SENIOR ANALYST,NJ,Level I,"59,904.00"
SR. STAFF SW TEST ENGINEER,CA,,"125,829.00"
ADVANCED BUSINESS INTELLIGENCE DEVELOPER,TX,Level III,"96,470.00"
VISITING ASSISTANT PROFESSOR,OH,Level I,"50,300.00"
SENIOR SOFTWARE ENGINEER 11168.43,CA,Level II,"121,077.00"
MEDICAL DIRECTOR/HOSPITALIST,MA,Level II,"177,237.00"
DEVELOPER - LEAD ANALYST,TX,Level IV,"126,235.00"
PRICING ANALYST,GA,Level I,"37,898.00"
SENIOR PROJECT MANAGER,SC,Level III,"89,648.00"
SENIOR ELECTRICAL ENGINEER,TX,,"78,736.00"
DIGITAL EDITOR,NY,Level II,"63,939.00"
SENIOR FINANCIAL ANALYST,IL,,"65,800.00"
POSTDOCTORAL FELLOW,IN,Level I,"42,973.00"
TM1/PLANNING ANALYTICS PLATFORM ENGINEER,OR,Level IV,"102,086.00"
COMPUTER SPECIALIST/SYSTEM SUPPORT AND DEVELOPMENT ADMIN 2,AL,Level II,"75,296.00"
"SENIOR SYSTEMS ANALYST, JD EDWARDS ENTERPRISE ONE",CA,Level IV,"119,038.00"
ENGINEER - SERVICES SOFTWARE,TX,Level II,"94,640.00"
SENIOR SAP FINANCE ANALYST,AZ,Level IV,"114,650.00"
ENGINEERING MANAGER,CA,Level III,"167,731.00"
SENIOR SOLUTION ARCHITECT,TX,,"122,233.00"
RESEARCH ASSISTANT,PA,Level II,"43,784.00"
LEAD ENTERPRISE APPLICATIONS SUPPORT ANALYST,NC,,"90,878.00"
SENIOR SOFTWARE ENGINEER,CA,Level III,"147,597.00"
PRINCIPAL I & C ENGINEER II  1892.856.13,TX,Level IV,"122,845.00"
SENIOR PRODUCT MANAGER,CA,,"134,793.00"
SOFTWARE ENGINEERING SMTS,CA,Level II,"121,077.00"
SOFTWARE ENGINEER,PA,Level II,"90,646.00"
PROJECT MANAGER - III,WA,Level III,"124,758.00"
LEAD PROGRAMMER/ANALYST (MIDDLEWARE),NY,,"70,000.00"
MEDICAL DIRECTOR OF WEIGHT LOSS INSTITUTE,IL,,100.00
SENIOR SOFTWARE ARCHITECT,TX,Level IV,"191,402.00"
SENIOR SOFTWARE ENGINEER,MA,Level II,"84,698.00"
PRINCIPAL-SYSTEM ENGINEER,WA,Level IV,"138,778.00"
"HEAD OF STRATEGY, OFFICE OF THE CEO",CA,Level IV,"157,061.00"
LECTURER AND ADVISOR  [11695.31],TX,Level I,"33,010.00"
APPLICATION SUPPORT ENGINEER IV,WA,Level IV,"86,070.00"
DIRECTOR- PROJECT MANAGEMENT,VA,Level IV,"136,053.00"
CONTENT OPERATIONS ENGINEER,IL,Level II,"77,189.00"
ASSISTANT DIRECTOR - SENIOR QUALITY ASSURANCE ENGINEER,NE,Level III,"89,024.00"
PSYCHIATRIST,MA,Level II,67.55
COMPUTATIONAL BIOLOGIST (11894.5.7),CA,Level IV,"111,259.00"
ADVISORY SENIOR ASSOCIATE,GA,Level II,"67,704.00"
TRANSPORTATION/TRAFFIC ENGINEER 4,IL,Level II,"77,667.00"
"MANAGER, ENTERPRISE SUPPORT",CA,Level II,"168,189.00"
PROGRAM LEADER - DATA SCIENCE,MI,Level III,"85,654.00"
SENIOR SOFTWARE ENGINEER/DEVELOPER,NH,Level II,"90,917.00"
QA ENGINEER,CA,Level II,"79,872.00"
CLOUD SYSTEMS MANAGER,TX,Level III,"98,925.00"
"MANAGER, MARKETING SCIENCES",CA,,"144,076.00"
IT ARCHITECT,CA,Level IV,"155,106.00"
SOFTWARE ENGINEER,CA,Level II,"103,210.00"
VICE PRESIDENT,NY,Level III,"137,946.00"
AUDIT & ASSURANCE SENIOR,CA,,"66,700.00"
SENIOR SOFTWARE ENGINEER,NY,Level III,"103,438.00"
SENIOR SYSTEMS ENGINEER,GA,Level III,"102,357.00"
DEVELOPER - PRODUCT DEVELOPMENT IT,NC,,"76,799.00"
PROCESS ENGINEER,TX,Level I,"88,691.00"
SOLUTION ARCHITECT 4,NY,Level IV,"144,518.00"
SOFTWARE ENGINEER 3,CA,,"137,354.00"
APPLICATION DEVELOPER,VA,Level II,"84,282.00"
SOFTWARE ENGINEER 2,CA,Level II,"109,242.00"
SENIOR REPORT DEVELOPER,MD,Level III,"126,256.00"
BUSINESS ANALYST/CONSULTANT (SALESFORCE),TX,Level II,"81,598.00"
REGISTERED NURSE,VA,Level II,"70,491.00"
SUPPORT ENGINEER,TX,,"75,170.00"
SOFTWARE ENGINEER,VA,Level II,"93,933.00"
DESIGN ENGINEER 2,CT,Level II,"92,997.00"
TECHNICAL LEAD,IL,Level IV,"112,403.00"
CONSULTANT-PROFESSIONAL SERVICES II,TX,Level II,"94,806.00"
RESEARCH ANALYST,NY,Level II,"106,371.00"
GENERAL MANAGER,MA,Level III,"149,074.00"
APPLICATION MANAGEMENT SENIOR SPECIALIST,TX,,"93,717.00"
APPLICATION DEVELOPER,NY,Level II,"96,366.00"
ELECTRICAL CONTROLS ENGINEER,TN,Level IV,48.12
"APPLICATION SUPPORT ANALYST, TECHNOLOGY",TX,Level II,"81,598.00"
FINANCIAL ANALYSTS,CA,Level I,28.75
SENIOR SOFTWARE ENGINEER,CA,Level IV,"164,674.00"
SENIOR STORAGE ANALYST,FL,Level II,"107,931.00"
MTS CAD DESIGN ENGINEER,CA,Level IV,"152,526.00"
TEAM LEAD SOFTWARE ENGINEERING,MA,Level IV,"131,456.00"
COMMERCIAL DIRECTOR,CA,Level II,"147,035.00"
POWER SYSTEMS SOFTWARE ENGINEER,CA,Level II,"103,210.00"
RELEASE ENGINEER,MA,Level IV,"122,283.00"
SENIOR SOFTWARE DEVELOPER,NC,Level III,"105,893.00"
SENIOR SOFTWARE DEVELOPER,NJ,Level II,"93,746.00"
CONSULTANT,ND,Level I,"40,726.00"
SR. SOFTWARE ENGINEER,MN,Level II,"75,816.00"
MS SQL SERVER DATABASE ADMINISTRATOR,MD,Level II,"72,738.00"
SENIOR SOFTWARE DEVELOPER,NC,Level III,"105,893.00"
QA ANALYST/TESTING,MI,Level II,"68,120.00"
ACCOUNTANT,CA,Level I,23.90
SSRS DEVELOPER,NJ,Level II,"93,746.00"
RESEARCH SCIENTIST,SD,Level I,"67,995.00"
SOFTWARE ENGINEER,MA,Level II,"84,698.00"
SOFTWARE ENGINEER,MA,Level II,"84,698.00"
COMPUTER SYSTEMS ENGINEER,RI,Level III,"82,930.00"
COMPUTER SYSTEMS ENGINEER,WI,Level III,"64,210.00"
COMPUTER SYSTEMS ENGINEER 2,NJ,Level II,"74,443.00"
LODGING MANAGER,FL,Level III,"73,528.00"
SENIOR SOFTWARE DEVELOPER,CA,Level II,52.52
SOFTWARE DEVELOPER,FL,Level II,"73,112.00"
IT BUSINESS SYSTEMS ANALYST,CA,Level II,"96,762.00"
POSTDOCTORAL RESEARCH ASSOCIATE I,AZ,Level I,"41,392.00"
SOFTWARE ENGINEER (20012.579),NJ,Level III,"113,256.00"
PRINCIPAL I & C ENGINEER II  1892.856.13,TX,Level IV,"122,845.00"
HARDWARE ENGINEER,CA,Level II,"120,869.00"
PHARMACY MANAGER,MD,Level II,"106,704.00"
"MANAGER, INTEGRATION SYSTEMS (CONSUMER)",KS,Level IV,"104,874.00"
SOFTWARE DEVELOPMENT ENGINEER,IL,Level II,"80,912.00"
TECHNOLOGY LEAD - US,UT,Level II,"64,605.00"
CONSULTANT - US,CA,Level II,"96,762.00"
TECHNOLOGY ARCHITECT - US,AZ,Level III,"83,720.00"
APPLICATION DEVELOPMENT ASSOCIATE MANAGER,WA,Level IV,"115,586.00"
COMPUTER SPECIALIST/SYSTEM SUPPORT AND DEVELOPMENT ADMIN 2,PA,Level II,"79,165.00"
COMPUTER SPECIALIST / TESTING AND QUALITY ANALYST 3,OR,Level III,"85,238.00"
EXECUTIVE FUNCTIONAL CONSULTANT,MI,Level IV,"123,968.00"
SOFTWARE ENGINEER 1615.42279.1,CA,Level III,"132,184.00"
SYSTEM ANALYST JC65,TN,Level II,"62,442.00"
RESEARCH ASSOCIATE,CA,Level I,"45,427.00"
MANAGER JC50,PA,Level III,"72,571.00"
MANAGER JC50,MO,Level III,"92,602.00"
MANAGER JC50,NJ,Level III,"114,754.00"
MANAGER JC50,NJ,Level III,"114,754.00"
SOFTWARE ENGINEER,PA,Level II,"87,610.00"
PRINCIPAL CONSULTANT,CA,Level II,"109,242.00"
POSTDOCTORAL ASSOCIATE,MS,Level I,"46,800.00"
WCMS ENGINEER,CA,Level IV,"132,184.00"
RESEARCH STAFF,CA,Level I,"44,013.00"
SR. SW TEST ENGINEER,CA,Level II,"121,077.00"
SOFTWARE DEVELOPMENT ENGINEER (TECHNICAL TEAM LEAD),TX,Level IV,"90,854.00"
FINANCIAL ANALYST,CA,Level II,34.77
SR. STAFF SOFTWARE ENGINEER,CA,Level III,"132,184.00"
SALESFORCE ADMINISTRATOR,IN,Level II,"71,926.00"
SOFTWARE DEVELOPER,TX,Level II,"93,538.00"
SOFTWARE DEVELOPMENT MANAGEMENT,CA,Level IV,"174,117.00"
SOFTWARE ENGINEER,MO,Level III,43.43
SENIOR ORACLE DBA,MD,Level IV,"101,442.00"
MANUAL QA ENGINEER,UT,Level II,"80,330.00"
PROGRAMMER ANALYST,NC,Level II,"78,562.00"
INFORMATION TECHNOLOGY SPECIALIST 5 (ITS5),WA,,"65,580.00"
SOFTWARE DEVELOPER,GA,Level II,"84,240.00"
SOFTWARE ENGINEER,CA,Level II,"103,064.00"
BUSINESS ANALYST,IL,Level II,"70,637.00"
JR. ART DIRECTOR AND STUDIO MANAGER,CA,Level III,"57,782.00"
HEAD OF TECHNOLOGY ALLIANCES,CA,Level III,"167,523.00"
SR. APPLICATIONS DEVELOPER,CA,Level III,"132,184.00"
DATABASE SOFTWARE ENGINEER,CA,Level II,43.95
SENIOR SOFTWARE ENGINEER,CA,Level II,"86,653.00"
SOFTWARE ENGINEER,AZ,Level II,"81,266.00"
SOFTWARE ENGINEER,AZ,Level III,"97,968.00"
SOFTWARE ENGINEER,AZ,Level II,"81,266.00"
SOFTWARE ENGINEER,AZ,Level II,"81,266.00"
SR. ORACLE APPLICATIONS TECHNICAL DEVELOPER,FL,Level II,"81,016.00"
SENIOR SOFTWARE ENGINEER,AZ,Level IV,"114,650.00"
SOFTWARE ENGINEER,CA,,"164,567.00"
SENIOR .NET ENGINEER,MA,Level IV,"122,283.00"
BRAND COMMUNICATIONS MANAGER,NY,Level I,56.87
COMPUTER SPECIALIST/TESTING AND QUALITY ANALYST 2,NC,Level II,"63,544.00"
AUDIT & ASSURANCE SENIOR ASSISTANT,MI,Level I,"48,838.00"
ADVISORY MANAGER,WA,Level IV,"122,450.00"
"SENIOR MTS, SOFTWARE ENGINEER",CA,Level IV,"155,106.00"
"AVP, JAVA DEVELOPER",NY,Level II,"96,366.00"
LEAD SOFTWARE DEVELOPER,GA,Level III,"104,790.00"
PUBLIC RELATIONS SPECIALIST,AZ,Level I,17.88
ASIC DESIGN AND VERIFICATION ENGINEER,CA,Level III,"129,563.00"
"RESEARCH FELLOW, DEPARTMENT OF OPHTHALMOLOGY",MA,Level I,"49,005.00"
SOLUTION ARCHITECT,MI,Level II,"81,474.00"
SOFTWARE ENGINEER,WA,,"182,063.00"
SENIOR APPLICATIONS DEVELOPER/SUPPORT SPECIALIST,NJ,Level IV,"138,861.00"
SENIOR SOFTWARE ENGINEER,CA,Level II,"121,077.00"
SCIENTIST I,NJ,Level II,"70,346.00"
CLINICAL BIOMECHANIST,TX,Level III,"62,026.00"
SOFTWARE ENGINEER 1615.42201,CA,Level II,"113,318.00"
COMPUTER SYSTEM ENGINEER/ARCHITECT,NY,Level I,28.67
SOLUTIONS ARCHITECT,CA,Level IV,"148,741.00"
SENIOR PRODUCT ASSOCIATE,MA,Level II,"84,698.00"
RF ENGINEER,TX,Level II,"89,461.00"
SENIOR SOFTWARE ENGINEER,GA,Level III,"104,790.00"
SOFTWARE ENGINEER,TX,Level IV,"122,366.00"
SYSTEMS ENGINEER III,CO,Level II,"87,173.00"
SENIOR SOFTWARE ENGINEER IN TEST,CA,,"110,801.00"
PROGRAMMER ANALYST,CA,Level IV,"95,202.00"
SPECIALIST SENIOR,TX,Level II,"94,806.00"
MANUAL TEST LEAD,NY,Level II,"72,051.00"
APPLICATION ARCHITECT 3,FL,Level III,"91,645.00"
ANESTHESIOLOGIST/PAIN MANAGEMENT PHYSICIAN,OH,Level III,"194,875.00"
PROJECT MANAGER,OH,Level II,"59,093.00"
"MANAGER, PROGRAMER/IS ANALYST",FL,Level IV,"93,288.00"
TEST LEAD,IL,Level II,"77,189.00"
APPLICATIONS CONSULTANT 3,FL,Level III,"91,645.00"
APPLICATIONS CONSULTANT 3,VA,Level III,"99,674.00"
SOFTWARE ENGINEER,IA,Level III,42.78
SR. EMBEDDED SOFTWARE ENGINEER,MI,Level III,"89,814.00"
"DIRECTOR, GLOBAL OPERATIONS",NY,Level III,"171,371.00"
OPERATIONS DIRECTOR,MI,,"66,042.00"
SOFTWARE ENGINEER,CA,Level II,"109,242.00"
DEVELOPER SENIOR,IL,Level III,"99,112.00"
DIRECTOR OF SALES,IL,Level II,"83,408.00"
SOFTWARE ENGINEER,CA,Level II,"121,077.00"
INSTRUCTOR,MD,Level III,"76,939.00"
SOFTWARE DEVELOPER,TX,Level II,42.54
SOFTWARE DEVELOPER,TX,Level II,42.54
SOFTWARE DEVELOPER,NJ,Level II,"93,746.00"
PRODUCT MANAGER-TECHNICAL,WA,Level II,"101,837.00"
SENIOR SOFTWARE ENGINEER,NY,Level III,"117,624.00"
HOSPITALIST,WI,,100.00
SR. DATA ENGINEER,CA,Level III,"111,280.00"
SENIOR ENGINEER,IL,Level IV,"112,403.00"
SOFTWARE DEVELOPER,NM,Level I,"58,406.00"
"GLOBAL HEAD,MEDICAL AND SCIENTIFIC SERVICES/GLOBAL HEAD PROP",NC,Level II,"93,704.00"
"PROGRAM MANAGER, AUTOMATION",CA,Level II,"138,840.00"
ACCOUNTING CONSULTANT,GA,Level II,"51,542.00"
SENIOR FRONT-END SOFTWARE ENGINEER,IL,Level IV,"112,403.00"
ADVISORY SENIOR ASSOCIATE,TX,Level II,"93,538.00"
SOFTWARE ENGINEER,CA,Level II,"109,242.00"
JAVA DEVELOPER,NC,Level II,"88,670.00"
IT ARCHITECT,CA,Level II,"95,638.00"
ADVISORY ENGINEER,NY,Level III,"94,786.00"
SAP DATA ANALYST,IL,Level II,"76,253.00"
MANAGING CONSULTANT,TX,Level IV,"108,867.00"
DATA SPECIALIST,AZ,Level II,"72,301.00"
SENIOR ENGINEER - SOFTWARE TEST,OR,Level III,"107,640.00"
APPLICATION DEVELOPER,NJ,Level II,"77,022.00"
MANAGER JC50 - SOFTWARE DEV APPLICATIONS,AZ,Level III,"97,968.00"
PROJECT DELIVERY LEAD,TN,Level IV,"109,242.00"
ACCOUNTANTS AND AUDITORS,KS,Level I,"42,765.00"
CNG MEMBER OF TECHNICAL STAFF,CA,Level III,"138,091.00"
ACCOUNTANTS AND AUDITORS,KS,Level I,"42,765.00"
"MANAGER, SOFTWARE DEVELOPMENT",CA,Level II,"167,523.00"
TECHNICAL TEAM LEAD,AR,Level II,"56,909.00"
PROJECT DELIVERY SPECIALIST,MA,Level II,"84,698.00"
VICE PRESIDENT,CA,Level III,"147,597.00"
SQL / SSIS DEVELOPER,MN,Level II,"78,166.00"
STAFF SOFTWARE ENGINEER,AR,Level IV,"105,310.00"
DESIGN TECHNOLOGIST,NY,,"89,700.00"
PROGRAMMER/ DEVELOPER 2,NJ,Level II,"77,022.00"
SOFTWARE ENGINEER,AZ,Level II,"81,266.00"
SENIOR DATA INTEGRATION ENGINEER,AZ,Level III,"102,939.00"
COMPUTER PROGRAMMER ANALYST,NY,Level II,"93,642.00"
SOFTWARE ENGINEER,TX,Level II,"85,467.00"
DIGITAL VIDEO PRODUCTION ASSISTANT (REGIONAL TELEVISION),CA,Level I,16.12
SYSTEMS ANALYST,MN,Level II,"77,542.00"
SOFTWARE ENGINEER AND TESTER,MI,Level II,"61,048.00"
ASSOCIATE,NY,Level II,"92,768.00"
PROGRAMMER ANALYST,NY,Level II,"64,355.00"
MANAGER,NJ,Level III,"103,834.00"
SOFTWARE DEVELOPER ENGINEER,GA,Level II,"84,240.00"
PROJECT MANAGER 3,IL,Level III,"96,325.00"
"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE",OH,Level II,"82,659.00"
DATA ANALYST,MD,Level III,"99,382.00"
BUSINESS ANALYST,WI,Level II,"67,163.00"
COMPUTER PROGRAMMER,SC,Level II,"69,597.00"
"SOFTWARE DEVELOPER, APPLICATIONS",NY,Level III,"117,624.00"
SOFTWARE VALIDATION ENGINEER,CA,Level II,"97,760.00"
SOFTWARE ENGINEER,NY,Level II,"96,366.00"
"JAVA DEVELOPER (SOFTWARE DEVELOPER, APPLICATIONS)",VA,Level II,45.16
BUSINESS ANALYST,IL,Level II,"81,994.00"
APPLICATION DEVELOPER,OH,Level II,"79,560.00"
BIG DATA DEVELOPER III,WA,Level III,"133,806.00"
SOFTWARE DEVELOPER,NJ,Level II,"96,366.00"
SR. SOFTWARE DEVELOPER,PA,Level II,"72,779.00"
