TITLE,STATE,LEVEL,WAGE
Software Engineer/Developer,ID,Level II,"65,749.00"
Software Engineer/Developer,CA,Level II,"110,864.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Software Engineer/Developer,MO,Level II,"83,470.00"
Consultant,IN,Level II,"71,240.00"
Software Engineer/Developer,MO,Level II,"83,470.00"
Consultant,IN,Level II,"71,240.00"
Software Engineer/Developer,MN,Level II,"78,624.00"
Software Engineer/Developer,TX,Level II,"90,646.00"
Software Engineer/Developer,WI,Level III,"85,842.00"
Software Engineer/Developer,VA,Level II,"82,493.00"
Architect,VA,Level IV,"135,491.00"
Analyst,AL,Level II,"68,765.00"
Software Engineer/Developer,AZ,Level II,"78,021.00"
Analyst,AZ,Level II,"81,266.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Project Manager,CA,Level II,"94,266.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Software Engineer/Developer,CA,Level IV,"142,168.00"
Architect,IL,Level II,"83,366.00"
Architect,IL,Level I,"51,314.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Architect,CA,Level III,"132,184.00"
Architect,CA,Level III,"147,597.00"
Software Engineer/Developer,TX,Level III,"163,238.00"
Project Manager,CA,Level IV,"112,757.00"
Project Manager,MA,Level II,"76,294.00"
Software Engineer/Developer,MN,Level III,"94,058.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,WA,Level III,"162,219.00"
Assistant Professor,OH,Level I,"50,300.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Analyst,GA,Level I,"37,898.00"
Project Manager,SC,Level III,"89,648.00"
Postdoctoral Fellow,IN,Level I,"42,973.00"
Manager,CA,Level III,"167,731.00"
Research Associate,PA,Level II,"43,784.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,PA,Level II,"90,646.00"
Project Manager,WA,Level III,"124,758.00"
Architect,TX,Level IV,"191,402.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Project Manager,VA,Level IV,"136,053.00"
Research Associate,GA,Level II,"67,704.00"
Software Engineer/Developer,NH,Level II,"90,917.00"
Manager,CA,Level II,"79,872.00"
Project Manager,TX,Level III,"98,925.00"
Architect,CA,Level IV,"155,106.00"
Software Engineer/Developer,CA,Level II,"103,210.00"
Software Engineer/Developer,NY,Level III,"103,438.00"
Software Engineer/Developer,GA,Level III,"102,357.00"
Project Manager,TX,Level I,"88,691.00"
Architect,NY,Level IV,"144,518.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,MD,Level III,"126,256.00"
Software Engineer/Developer,VA,Level II,"93,933.00"
Technical Lead,IL,Level IV,"112,403.00"
Assistant Professor,TX,Level II,"94,806.00"
Research Associate,NY,Level II,"106,371.00"
Manager,MA,Level III,"149,074.00"
Software Engineer/Developer,CA,Level IV,"164,674.00"
Software Engineer/Developer,MA,Level IV,"131,456.00"
Software Engineer/Developer,CA,Level II,"103,210.00"
Software Engineer/Developer,MA,Level IV,"122,283.00"
Software Engineer/Developer,NC,Level III,"105,893.00"
Software Engineer/Developer,NJ,Level II,"93,746.00"
Consultant,ND,Level I,"40,726.00"
Software Engineer/Developer,MN,Level II,"75,816.00"
Software Engineer/Developer,NC,Level III,"105,893.00"
Analyst,MI,Level II,"68,120.00"
Software Engineer/Developer,NJ,Level II,"93,746.00"
Research Associate,SD,Level I,"67,995.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Manager,FL,Level III,"73,528.00"
Software Engineer/Developer,FL,Level II,"73,112.00"
Research Associate,AZ,Level I,"41,392.00"
Software Engineer/Developer,NJ,Level III,"113,256.00"
Software Engineer/Developer,CA,Level II,"120,869.00"
Project Manager,MD,Level II,"106,704.00"
Software Engineer/Developer,IL,Level II,"80,912.00"
Technical Lead,UT,Level II,"64,605.00"
Consultant,CA,Level II,"96,762.00"
Architect,AZ,Level III,"83,720.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Analyst,TN,Level II,"62,442.00"
Research Associate,CA,Level I,"45,427.00"
Manager,PA,Level III,"72,571.00"
Manager,MO,Level III,"92,602.00"
Manager,NJ,Level III,"114,754.00"
Manager,NJ,Level III,"114,754.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Consultant,CA,Level II,"109,242.00"
Postdoctoral Fellow,MS,Level I,"46,800.00"
Manager,CA,Level IV,"132,184.00"
Research Associate,CA,Level I,"44,013.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Software Engineer/Developer,CA,Level IV,"174,117.00"
Manager,UT,Level II,"80,330.00"
Analyst,NC,Level II,"78,562.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Software Engineer/Developer,CA,Level II,"103,064.00"
Analyst,IL,Level II,"70,637.00"
Software Engineer/Developer,CA,Level II,"86,653.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Software Engineer/Developer,AZ,Level III,"97,968.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Software Engineer/Developer,AZ,Level IV,"114,650.00"
Software Engineer/Developer,MA,Level IV,"122,283.00"
Manager,WA,Level IV,"122,450.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Software Engineer/Developer,GA,Level III,"104,790.00"
Architect,MI,Level II,"81,474.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Technical Lead,TX,Level III,"62,026.00"
Software Engineer/Developer,CA,Level II,"113,318.00"
Architect,CA,Level IV,"148,741.00"
Research Associate,MA,Level II,"84,698.00"
Software Engineer/Developer,TX,Level II,"89,461.00"
Software Engineer/Developer,GA,Level III,"104,790.00"
Software Engineer/Developer,TX,Level IV,"122,366.00"
Software Engineer/Developer,CO,Level II,"87,173.00"
Analyst,CA,Level IV,"95,202.00"
Analyst,NY,Level II,"72,051.00"
Architect,FL,Level III,"91,645.00"
Project Manager,OH,Level II,"59,093.00"
Technical Lead,IL,Level II,"77,189.00"
Consultant,FL,Level III,"91,645.00"
Consultant,VA,Level III,"99,674.00"
Software Engineer/Developer,MI,Level III,"89,814.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,NJ,Level II,"93,746.00"
Project Manager,WA,Level II,"101,837.00"
Software Engineer/Developer,NY,Level III,"117,624.00"
Software Engineer/Developer,CA,Level III,"111,280.00"
Software Engineer/Developer,IL,Level IV,"112,403.00"
Software Engineer/Developer,NM,Level I,"58,406.00"
Project Manager,CA,Level II,"138,840.00"
Accountant,GA,Level II,"51,542.00"
Software Engineer/Developer,IL,Level IV,"112,403.00"
Research Associate,TX,Level II,"93,538.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,NC,Level II,"88,670.00"
Architect,CA,Level II,"95,638.00"
Software Engineer/Developer,NY,Level III,"94,786.00"
Analyst,IL,Level II,"76,253.00"
Consultant,TX,Level IV,"108,867.00"
Associate,AZ,Level II,"72,301.00"
Project Manager,TN,Level IV,"109,242.00"
Accountant,KS,Level I,"42,765.00"
Technical Lead,CA,Level III,"138,091.00"
Accountant,KS,Level I,"42,765.00"
Software Engineer/Developer,CA,Level II,"167,523.00"
Technical Lead,AR,Level II,"56,909.00"
Software Engineer/Developer,MN,Level II,"78,166.00"
Software Engineer/Developer,AR,Level IV,"105,310.00"
Software Engineer/Developer,NJ,Level II,"77,022.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Software Engineer/Developer,TX,Level II,"85,467.00"
Analyst,MN,Level II,"77,542.00"
Software Engineer/Developer,MI,Level II,"61,048.00"
Associate,NY,Level II,"92,768.00"
Analyst,NY,Level II,"64,355.00"
Manager,NJ,Level III,"103,834.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Project Manager,IL,Level III,"96,325.00"
Software Engineer/Developer,OH,Level II,"82,659.00"
Analyst,MD,Level III,"99,382.00"
Analyst,WI,Level II,"67,163.00"
Software Engineer/Developer,NY,Level III,"117,624.00"
Software Engineer/Developer,CA,Level II,"97,760.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Analyst,IL,Level II,"81,994.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Software Engineer/Developer,PA,Level II,"72,779.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Architect,KY,Level II,"67,038.00"
Software Engineer/Developer,VA,Level II,"93,933.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Project Manager,VA,Level III,"114,587.00"
Software Engineer/Developer,MA,Level IV,"122,283.00"
Research Associate,NY,Level II,"66,352.00"
Physical Therapist,TX,Level II,"82,077.00"
Assistant Professor,TX,Level III,"116,667.00"
Research Associate,NY,Level II,"106,371.00"
Software Engineer/Developer,DE,Level II,"66,560.00"
Project Manager,CA,Level II,"167,523.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Accountant,CA,Level III,"97,906.00"
Software Engineer/Developer,GA,Level III,"104,790.00"
Analyst,CA,Level IV,"101,982.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Project Manager,CA,Level II,"168,189.00"
Consultant,FL,Level II,"65,000.00"
Postdoctoral Fellow,MA,Level I,"42,120.00"
Analyst,NY,Level III,"102,856.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Project Manager,AL,Level III,"75,088.00"
Research Associate,OH,Level II,"50,710.00"
Consultant,TX,Level II,"91,915.00"
Postdoctoral Fellow,TX,Level I,"38,646.00"
Manager,VA,Level IV,"79,893.00"
Software Engineer/Developer,CA,Level III,"125,112.00"
Assistant Professor,TX,Level I,"41,820.00"
Consultant,MA,Level I,"38,709.00"
Software Engineer/Developer,AL,Level II,"57,408.00"
Software Engineer/Developer,GA,Level III,"142,917.00"
Software Engineer/Developer,MA,Level III,"103,501.00"
Software Engineer/Developer,CA,Level II,"118,456.00"
Software Engineer/Developer,PA,Level II,"72,779.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CA,Level II,"91,395.00"
Software Engineer/Developer,CA,Level III,"118,019.00"
Consultant,NC,Level III,"105,893.00"
Software Engineer/Developer,OH,Level II,"87,693.00"
Consultant,IL,Level IV,"106,309.00"
Project Manager,FL,Level III,"95,160.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level I,"53,290.00"
Technical Lead,GA,Level III,"66,248.00"
Project Manager,WA,Level I,"67,746.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Project Manager,GA,Level IV,"108,555.00"
Technical Lead,WA,Level II,"85,342.00"
Technical Lead,WA,Level II,"85,342.00"
Analyst,CA,Level II,"85,280.00"
Software Engineer/Developer,NE,Level II,"75,504.00"
Consultant,NY,Level II,"87,506.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Project Manager,CA,Level III,"181,813.00"
Software Engineer/Developer,IN,Level II,"69,659.00"
Consultant,CA,Level II,"121,077.00"
Software Engineer/Developer,OR,Level II,"90,480.00"
Software Engineer/Developer,AZ,Level II,"72,301.00"
Technical Lead,NY,Level IV,"138,861.00"
Software Engineer/Developer,OH,Level II,"85,925.00"
Project Manager,CA,Level III,"90,002.00"
Consultant,CA,Level I,"71,635.00"
Technical Lead,WA,Level II,"85,342.00"
Analyst,NY,Level I,"57,304.00"
Consultant,IL,Level I,"65,166.00"
Architect,NC,Level III,"105,893.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Project Manager,NY,Level I,"116,854.00"
Project Manager,AZ,Level II,"63,939.00"
Technical Lead,TN,Level II,"62,982.00"
Consultant,CA,Level II,"99,320.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Technical Lead,CA,Level I,"107,702.00"
Architect,CA,Level IV,"148,803.00"
Analyst,NC,Level II,"71,115.00"
Analyst,NY,Level II,"93,642.00"
Project Manager,TX,Level III,"113,714.00"
Software Engineer/Developer,NJ,Level III,"113,256.00"
Software Engineer/Developer,OH,Level III,"81,619.00"
Software Engineer/Developer,NC,Level III,"98,987.00"
Software Engineer/Developer,CA,Level IV,"174,117.00"
Manager,TX,Level III,"109,886.00"
Software Engineer/Developer,MN,Level III,"89,773.00"
Software Engineer/Developer,FL,Level II,"72,966.00"
Software Engineer/Developer,AR,Level III,"90,917.00"
Software Engineer/Developer,OH,Level II,"87,693.00"
Analyst,AZ,Level IV,"114,650.00"
Software Engineer/Developer,NC,Level II,"88,670.00"
Software Engineer/Developer,NC,Level III,"105,893.00"
Software Engineer/Developer,MI,Level II,"78,125.00"
Software Engineer/Developer,NY,Level III,"84,386.00"
Software Engineer/Developer,CA,Level II,"91,686.00"
Software Engineer/Developer,TN,Level IV,"105,685.00"
Software Engineer/Developer,TX,Level II,"91,915.00"
Architect,VA,Level II,"93,933.00"
Postdoctoral Fellow,NY,Level I,"46,654.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Software Engineer/Developer,NC,Level II,"85,426.00"
Project Manager,OR,Level III,"89,357.00"
Software Engineer/Developer,FL,Level II,"73,112.00"
Software Engineer/Developer,NC,Level II,"85,426.00"
Architect,CA,Level II,"95,638.00"
Research Associate,IL,Level I,"43,888.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,TX,Level II,"85,467.00"
Software Engineer/Developer,CA,Level I,"71,531.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Software Engineer/Developer,MD,Level III,"108,680.00"
Analyst,MA,Level II,"82,618.00"
Software Engineer/Developer,VA,Level II,"60,133.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Manager,TN,Level IV,"83,990.00"
Manager,IL,Level III,"92,186.00"
Manager,IL,Level III,"92,186.00"
Manager,NY,Level IV,"135,886.00"
Manager,NJ,Level IV,"135,886.00"
Manager,NJ,Level IV,"135,886.00"
Manager,CA,Level III,"94,016.00"
Manager,PA,Level III,"99,154.00"
Manager,AZ,Level III,"89,523.00"
Manager,MA,Level III,"91,125.00"
Manager,NJ,Level IV,"117,042.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Consultant,WA,Level II,"80,413.00"
Software Engineer/Developer,VA,Level II,"93,933.00"
Consultant,NY,Level II,"96,366.00"
Manager,IL,Level III,"96,658.00"
Analyst,CA,Level I,"69,805.00"
Accountant,NY,Level II,"79,934.00"
Accountant,NY,Level II,"79,934.00"
Consultant,MD,Level II,"102,648.00"
Consultant,IL,Level II,"80,912.00"
Project Manager,NY,Level II,"67,184.00"
Consultant,CA,Level II,"83,720.00"
Manager,CA,Level III,"147,597.00"
Consultant,CA,Level II,"109,242.00"
Technical Lead,NJ,Level II,"70,346.00"
Consultant,PA,Level II,"87,610.00"
Consultant,SC,Level II,"71,510.00"
Consultant,DE,Level II,"86,466.00"
Consultant,MD,Level II,"81,702.00"
Software Engineer/Developer,CO,Level II,"87,173.00"
Software Engineer/Developer,MD,Level IV,"149,843.00"
Software Engineer/Developer,MD,Level I,"79,061.00"
Research Associate,CT,Level I,"40,206.00"
Associate,MD,Level I,"43,472.00"
Software Engineer/Developer,NJ,Level III,"100,547.00"
Project Manager,CA,Level IV,"85,238.00"
Software Engineer/Developer,MO,Level II,"85,925.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Consultant,IL,Level III,"96,325.00"
Project Manager,FL,Level II,"65,832.00"
Consultant,IL,Level II,"80,912.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Research Associate,FL,Level III,"75,442.00"
Software Engineer/Developer,WA,Level I,"83,366.00"
Technical Lead,NY,Level III,"102,856.00"
Software Engineer/Developer,TX,Level II,"78,208.00"
Software Engineer/Developer,KS,Level II,"75,795.00"
Software Engineer/Developer,NJ,Level II,"75,254.00"
Software Engineer/Developer,IL,Level II,"69,888.00"
Software Engineer/Developer,CA,Level III,"138,091.00"
Research Associate,NY,Level II,"50,731.00"
Manager,PA,Level IV,"114,858.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Manager,CA,Level III,"118,019.00"
Manager,CT,Level III,"94,390.00"
Manager,MA,Level III,"93,142.00"
Manager,MA,Level III,"93,142.00"
Analyst,NJ,Level II,"83,138.00"
Manager,PA,Level III,"99,154.00"
Manager,IL,Level III,"89,461.00"
Manager,NJ,Level III,"114,754.00"
Manager,IL,Level III,"90,563.00"
Manager,DE,Level III,"97,427.00"
Manager,DE,Level III,"97,427.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Analyst,TX,Level I,"63,814.00"
Manager,CA,Level IV,"141,856.00"
Software Engineer/Developer,CA,Level II,"87,152.00"
Manager,CA,Level III,"122,387.00"
Manager,NJ,Level IV,"117,042.00"
Analyst,TX,Level I,"63,814.00"
Manager,MO,Level IV,"107,515.00"
Research Associate,CA,Level II,"73,549.00"
Analyst,CT,Level II,"82,909.00"
Analyst,OH,Level II,"74,755.00"
Manager,NY,Level III,"114,754.00"
Manager,VA,Level IV,"119,954.00"
Manager,IL,Level III,"90,563.00"
Analyst,IL,Level II,"76,502.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Technical Lead,CA,Level IV,"155,106.00"
Software Engineer/Developer,CA,Level II,"87,152.00"
Software Engineer/Developer,MI,Level IV,"122,470.00"
Postdoctoral Fellow,PA,Level I,"56,618.00"
Architect,MN,Level II,"63,814.00"
Project Manager,KY,Level III,"67,621.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Software Engineer/Developer,AZ,Level III,"97,968.00"
Analyst,NJ,Level II,"96,366.00"
Analyst,NJ,Level II,"93,642.00"
Consultant,IL,Level II,"80,912.00"
Consultant,NY,Level II,"84,698.00"
Software Engineer/Developer,CA,Level IV,"157,706.00"
Consultant,OH,Level II,"77,189.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Consultant,CO,Level II,"87,173.00"
Project Manager,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CA,Level II,"94,266.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,MN,Level III,"94,058.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CT,Level II,"93,600.00"
Physical Therapist,MD,Level II,"43,805.00"
Research Associate,TX,Level II,"48,568.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Software Engineer/Developer,MI,Level IV,"106,517.00"
Software Engineer/Developer,TX,Level II,"98,946.00"
Software Engineer/Developer,DE,Level II,"86,466.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Software Engineer/Developer,DC,Level II,"111,322.00"
Software Engineer/Developer,VA,Level IV,"136,053.00"
Software Engineer/Developer,KS,Level II,"75,795.00"
Software Engineer/Developer,CA,Level III,"111,280.00"
Software Engineer/Developer,CA,Level III,"141,898.00"
Research Associate,TX,Level II,"33,550.00"
Project Manager,CA,Level II,"167,523.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Physical Therapist,TX,Level II,"58,261.00"
Software Engineer/Developer,NC,Level II,"88,670.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level IV,"154,315.00"
Consultant,MD,Level II,"86,500.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Project Manager,MA,Level II,"84,698.00"
Software Engineer/Developer,CA,Level II,"99,320.00"
Software Engineer/Developer,TX,Level II,"85,467.00"
Architect,CA,Level II,"78,874.00"
Software Engineer/Developer,MO,Level II,"85,925.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Software Engineer/Developer,TX,Level II,"91,915.00"
Software Engineer/Developer,PA,Level III,"95,326.00"
Software Engineer/Developer,IL,Level II,"80,912.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Architect,PA,Level II,"62,400.00"
Postdoctoral Fellow,MA,Level II,"50,731.00"
Technical Lead,WA,Level II,"113,318.00"
Software Engineer/Developer,TX,Level I,"77,189.00"
Project Manager,NJ,Level III,"137,946.00"
Software Engineer/Developer,WA,Level IV,"154,315.00"
Postdoctoral Fellow,CO,Level I,"39,437.00"
Software Engineer/Developer,IL,Level III,"92,061.00"
Software Engineer/Developer,IL,Level II,"85,134.00"
Project Manager,CA,Level III,"102,690.00"
Software Engineer/Developer,AZ,Level III,"97,968.00"
Consultant,CT,Level II,"86,549.00"
Research Associate,NJ,Level II,"64,085.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,NY,Level II,"68,411.00"
Software Engineer/Developer,NJ,Level II,"74,443.00"
Project Manager,WA,Level II,"74,048.00"
Accountant,CA,Level I,"51,438.00"
Research Associate,FL,Level IV,"107,931.00"
Software Engineer/Developer,TX,Level III,"105,435.00"
Technical Lead,NY,Level III,"113,776.00"
Analyst,CA,Level II,"83,408.00"
Project Manager,NJ,Level IV,"123,843.00"
Technical Lead,IL,Level II,"78,229.00"
Technical Lead,TX,Level II,"80,850.00"
Consultant,NJ,Level II,"93,642.00"
Architect,MO,Level III,"84,365.00"
Architect,MA,Level IV,"138,902.00"
Consultant,IL,Level II,"75,837.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Project Manager,CT,Level III,"100,464.00"
Project Manager,FL,Level III,"107,411.00"
Software Engineer/Developer,MD,Level III,"126,256.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Technical Lead,TX,Level IV,"122,782.00"
Software Engineer/Developer,MD,Level III,"126,256.00"
Software Engineer/Developer,VA,Level II,"97,739.00"
Software Engineer/Developer,GA,Level III,"104,790.00"
Architect,NC,Level II,"85,426.00"
Project Manager,MA,Level IV,"91,270.00"
Project Manager,LA,Level III,"155,917.00"
Architect,NY,Level IV,"68,182.00"
Software Engineer/Developer,IL,Level III,"96,658.00"
Software Engineer/Developer,PA,Level IV,"108,160.00"
Consultant,NJ,Level II,"64,085.00"
Associate,NJ,Level I,"100,818.00"
Technical Lead,CA,Level II,"68,224.00"
Consultant,NY,Level II,"96,366.00"
Software Engineer/Developer,CT,Level II,"86,299.00"
Analyst,IL,Level III,"90,563.00"
Analyst,FL,Level I,"61,922.00"
Analyst,FL,Level I,"58,261.00"
Accountant,OH,Level II,"60,694.00"
Technical Lead,WI,Level III,"72,030.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Analyst,MA,Level II,"78,666.00"
Software Engineer/Developer,CA,Level II,"119,101.00"
Software Engineer/Developer,CA,Level II,"91,978.00"
Software Engineer/Developer,CA,Level II,"87,152.00"
Architect,MN,Level III,"94,058.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level II,"119,101.00"
Project Manager,RI,Level IV,"97,635.00"
Software Engineer/Developer,MI,Level IV,"91,645.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Project Manager,CA,Level II,"96,824.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Software Engineer/Developer,WA,Level IV,"154,315.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,MN,Level III,"93,163.00"
Technical Lead,TX,Level II,"80,974.00"
Technical Lead,NC,Level II,"63,544.00"
Physical Therapist,GA,Level II,"73,944.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Software Engineer/Developer,CA,Level III,"147,597.00"
Manager,NJ,Level II,"77,355.00"
Assistant Professor,CA,Level II,"54,517.00"
Software Engineer/Developer,TX,Level III,"104,042.00"
Project Manager,OR,Level II,"80,746.00"
Consultant,CA,Level II,"86,112.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,WA,Level I,"48,672.00"
Analyst,WA,Level II,"74,048.00"
